Auction ID,Heading,Location,Bank Name,Reserve Price,Auction Date
59508,"Flat in Undri, Pune","Pune, Maharashtra",Axis Bank,"₹21,01,059",09/08/2025
59509,"Flat in Undri, Pune","Pune, Maharashtra",Axis Bank,"₹21,01,059",09/08/2025
29451,Plot in Tuticorin,"Thoothukudi, Tamil Nadu",City Union Bank,"₹2,58,00,000",08/08/2025
60000,Flat in Kallakurichi,"Kallakurichi, Tamil Nadu",DBS Bank,"₹19,35,000",30/07/2025
59999,"Land and Building in Emappair Village, Kallakurichi","Kallakurichi, Tamil Nadu",DBS Bank,"₹78,90,000",30/07/2025
62366,Land in Yelachenahallli,"Yelachenahallli, Bangalore Urba, Karnataka",State Bank of India,"₹50,22,000",30/07/2025
62516,"Land and Building in Pandaravadai Perumpandi, Thanjavur","Thanjavur, Tamil Nadu",Repco Home Finance,"₹59,00,000",29/07/2025
62476,"Plot in Madhaiyankuttai, Salem","Salem, Tamil Nadu",State Bank of India,"₹59,38,000",29/07/2025
62517,"Land and Building in Pandaravadai Perumpandi village, Thanjavur","Thanjavur, Tamil Nadu",Repco Home Finance,"₹52,00,000",29/07/2025
61946,Residential Plot in Janakpuri,"Janakpuri, Ludhiana, Punjab",Karnataka Bank,"₹78,18,000",29/07/2025
61946,Residential Plot in Janakpuri,"Janakpuri, Ludhiana, Punjab",Karnataka Bank,"₹78,18,000",29/07/2025
63099,Factory Land and Building and Residential Land in Barasat,"Barasat, Kolkata, West Bengal",Karnataka Bank,"₹10,02,88,960",29/07/2025
61580,Factory Land and Building and Residential Land in Koom Kalan,"Koom Kalan, Ludhiana, Punjab",Karnataka Bank,"₹5,22,14,200",29/07/2025
57884,Agricultural Land in Palwal,"Palwal, Haryana",Debts Recovery Tribunal,"₹2,25,00,000",29/07/2025
60653,Commercial Property in Purba Bardhaman,"Purba Bardhaman, Kolkata, West Bengal",State Bank of India,"₹42,45,000",28/07/2025
62716,Residential Flat in Sampangirmana,"Sampangirmana, Bangalore Urba, Karnataka",State Bank of India,"₹5,80,00,000",28/07/2025
31750,"Land and Building in Rajapalayam, Virudhunagar","Virudhunagar, Tamil Nadu",Bank of India,"₹11,05,65,000",24/07/2025
60488,Flat in Anekal,"Anekal, Karnataka",State Bank of India,"₹32,48,000",24/07/2025
62557,Land in Varthur,"Varthur, Bangalore Urba, Karnataka",Cholamandalam Investment and Finance Company,"₹3,57,00,000",23/07/2025
62578,Land and Building in Ramanagar,"Ramanagara, Karnataka",Cholamandalam Investment and Finance Company,"₹4,00,00,000",23/07/2025
61457,"Land and Building in Venbedu Village, Kancheepuram","Kanchipuram, Tamil Nadu",Bank Of Baroda,"₹22,00,000",23/07/2025
61941,Residential Plot for Sale,"Rameshwaram, Kadapa, Andhra Pradesh",Karnataka Bank,"₹16,50,000",23/07/2025
61954,Land and Building for Sale,"Vazhayoor Village, Malappuram, Kerala",Bank Of Baroda,"₹28,35,000",23/07/2025
61940,Residential Plot for Sale,"Rameshwaram Village, Kadapa, Andhra Pradesh",Karnataka Bank,"₹12,00,000",23/07/2025
61951,Residential Plot for Sale,"Bollavaram, Kadapa, Andhra Pradesh",Karnataka Bank,"₹30,00,000",23/07/2025
61949,Commercial Property for Sale,"Bollavaram, Kadapa, Andhra Pradesh",Karnataka Bank,"₹1,67,00,000",23/07/2025
61937,Residential Plot for Sale,"Rameshwaram Village, Kadapa, Andhra Pradesh",Karnataka Bank,"₹17,50,000",23/07/2025
61723,"Land in Chennathur, Krishnagiri","Krishnagiri, Tamil Nadu",Cholamandalam Investment and Finance Company,"₹2,77,00,000",23/07/2025
61945,Residential Plot for Sale,"Rameshwaram Village, Kadapa, Andhra Pradesh",Karnataka Bank,"₹16,00,000",23/07/2025
61947,Residential Plot for Sale,"Rameshwaram Village, Kadapa, Andhra Pradesh",Karnataka Bank,"₹21,00,000",23/07/2025
30472,"Land and building in Othakalmandapam, Coimbatore","Coimbatore, Tamil Nadu",Federal Bank,"₹40,00,000",23/07/2025
30354,"Land and Building in Othakalmandapam, Coimbatore","Coimbatore, Tamil Nadu",Federal Bank,"₹55,00,000",23/07/2025
14904,"Land and Building in Thammampatti, Salem","Salem, Tamil Nadu",Canara Bank,"₹38,00,000",22/07/2025
23068,"Land and building in Suramangalam, Salem","Salem, Tamil Nadu",Canara Bank,"₹1,38,94,000",22/07/2025
59195,Land in Bathinda,"Bathinda, Punjab",Au small finance bank,"₹26,20,000",22/07/2025
59024,"Land and Building in Jalapore, Navsari","Navsari, Gujarat",Au small finance bank,"₹22,00,000",22/07/2025
59040,"Land in Kanthravi, Mehsana","Mehsana, Gujarat",Au small finance bank,"₹2,30,000",22/07/2025
58835,"Land and Building in Dasaj, Mehsana","Mehsana, Gujarat",Au small finance bank,"₹3,60,000",22/07/2025
58204,"Land in Saghthala, Mehsana","Mehsana, Gujarat",Au small finance bank,"₹9,30,000",22/07/2025
61885,Plot in Pakhowal Road,"Pakhowal Road, Ludhiana, Punjab",Utkarsh Small Finance Bank,"₹32,05,750",22/07/2025
61887,Plot in Jagraon,"Jagraon, Ludhiana, Punjab",Utkarsh Small Finance Bank,"₹15,14,350",22/07/2025
62455,"Flat in Perumattnallur Village, Kanchipuram","Kanchipuram, Tamil Nadu",State Bank of India,"₹36,56,000",22/07/2025
62541,"Land and Building in Sundhararajapuram, Virudhunagar","Virudhunagar, Tamil Nadu",Canara Bank,"₹8,65,000",22/07/2025
62481,"Flat in Dhinnapalli Chhodapuram, Krishnagiri","Krishnagiri, Tamil Nadu",Indian Bank,"₹34,60,000",22/07/2025
62485,"Land and Building in Periyamanali, Namakkal","Namakkal, Tamil Nadu",Canara Bank,"₹46,50,000",22/07/2025
