,Auction ID,Bank/Organisation Name,Asset on Auction,City/District,Sealed Bid Submission last date,Reserve Price,EMD,Event Type,DRT Name,,,,,
,197156,Hinduja Housing Finance Limited,"All that the Flat No.1, in Ground Floor, having a super built up area of 1120 Sq...I am interested",Secunderabad,14 Jun 2025,"36,11,000.00","3,61,100.00",SARFAESI,--,196238,0,Immovable,Flat,0
,197157,Hinduja Housing Finance Limited,"All that the House in Plot No.37 in Sy.No.291/A1, 291/A2 admeasuring 180 Sq.Yard...I am interested",Nagarkurnool,14 Jun 2025,"32,66,000.00","3,26,600.00",SARFAESI,--,196239,0,Immovable,Residential,0
,197158,Hinduja Housing Finance Limited,All that the Part and Parcel of House No. 1-24 (PTIN-No.1265100064) Admeasuring ...I am interested,Medchal,14 Jun 2025,"66,40,500.00","6,64,050.00",SARFAESI,--,196240,0,Immovable,Residential,0
,197159,Hinduja Housing Finance Limited,"All that the House No. 2-23, on plot no.49 admeasuring 200 Sq. Yards or 167.36 S...I am interested",Ranga Reddy,14 Jun 2025,"35,90,000.00","3,59,000.00",SARFAESI,--,196241,0,Immovable,Residential,0
,197160,Hinduja Housing Finance Limited,All that the House No. 9-103 & 9-104 (New) and Old House No. 8-74 consisting of ...I am interested,Ranga Reddy,14 Jun 2025,"1,66,70,000.00","16,67,000.00",SARFAESI,--,196242,0,Immovable,Residential,0
,197573,HDFC Bank,"1)Equitable Residential 
Open plot no. 15 field 
Survey No. 22/2, 
Sambhaji Naga...I am interested",AKOLA,14 Jun 2025,"1,30,00,000.00","13,00,000.00",SARFAESI,--,196657,0,Immovable,Plot,0
,197575,HDFC Bank,"LOT  NO 2  Residential Flat no. 
101 Ram Laxman 
Residency, First Floor, 
Swami ...I am interested",AMRAVATI,14 Jun 2025,"40,00,000.00","4,00,000.00",SARFAESI,--,196659,0,Immovable,Flat,0
,195905,Aadhar Housing Finance Ltd.,"s.no 1

All that piece and parcel of the land in Gandhi Nagar, Virupatchipuram v...I am interested",vellore,14 Jun 2025,"35,81,042.00","3,58,104.00",SARFAESI,--,195000,0,Immovable,Land,0
,195913,Aadhar Housing Finance Ltd.,"s.no 2

All that piece and parcel of property bearing, Khasra No.107 Flat 08-09-...I am interested",Noida,14 Jun 2025,"15,93,072.00","1,59,307.00",SARFAESI,--,195007,0,Immovable,Flat,0
,195919,Aadhar Housing Finance Ltd.,"s.no 3

Sivagangai registration district, Manamadurai sub registration district,...I am interested",Manamadurai,14 Jun 2025,"20,88,000.00","2,08,800.00",SARFAESI,--,195008,0,Immovable,Vacant House,0
