Auction ID,Bank/Organisation Name,City/District/Location,last_date_of_submission,Reserve Price,EMD,Category,Source,days_until_submission
U36109MH2012PLC226651,ESSENZAA LIFESCIENCE LIMITED,-,15-06-2025,1500000.0,-,-,IBBI,14.0
U51101DL2007PTC171871,Global Infonet Distribution Pvt Ltd,-,16-06-2025,5670000.0,-,-,IBBI,15.0
U41000GJ2011PTC064934,DOSHION WATER UMBRELLA (CUDDALORE) PRIVATE LIMITED,-,14-06-2025,59275335.0,-,-,IBBI,13.0
U51909WB2009PTC134564,NEW HIND SILK HOUSE PRIVATE LIMITED,-,05-06-2025,103000000.0,-,-,IBBI,4.0
U51909WB2009PTC134564,NEW HIND SILK HOUSE PRIVATE LIMITED,-,05-06-2025,400000.0,-,-,IBBI,4.0
U51909WB2009PTC134564,NEW HIND SILK HOUSE PRIVATE LIMITED,-,05-06-2025,100000.0,-,-,IBBI,4.0
U51909WB2009PTC134564,NEW HIND SILK HOUSE PRIVATE LIMITED,-,05-06-2025,102500000.0,-,-,IBBI,4.0
L99999MH1992PLC066213,Jet Airways (India) Limited,-,02-06-2025,3352400000.0,-,-,IBBI,1.0
U45205TN2011PTC081758,EAP INFRASTRUCTURES PRIVATE LIMITED,-,02-06-2025,280000.0,-,-,IBBI,1.0
U45205TN2011PTC081758,EAP INFRASTRUCTURES PRIVATE LIMITED,-,02-06-2025,1000000.0,-,-,IBBI,1.0
U31900MH2004PTC147393,SCHWEITZER SYSTEMTEK INDIA PRIVATE LIMITED,-,07-06-2025,25000.0,-,-,IBBI,6.0
U15410WB2012PTC177072,Yummz Foods Private Limited,-,14-06-2025,40500000.0,-,-,IBBI,13.0
U15410WB2012PTC177072,Yummz Foods Private Limited,-,14-06-2025,40500000.0,-,-,IBBI,13.0
U23100WB2009PTC138958,AMBAY COKE INDUSTRIES PRIVATE LIMITED,-,03-06-2025,9510000.0,-,-,IBBI,2.0
