Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||CEO Cannanore,2025_MoD_3990,"25,000","36,998",28-May-2025 04:00 PM,09-Jun-2025 02:00 PM,10-Jun-2025 11:00 AM,Land/Building
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||Regional Manager Chandrapur||Divisional Manager Central Chanda,2025_MH_29717,,,07-Jun-2025 09:30 AM,09-Jun-2025 02:30 PM,09-Jun-2025 02:30 PM,Timber
Govt of Uttar Pradesh||Rajya Krishi Utpadan Mandi Parishad UP||DDAM Meerut- RKUMP||Ghaziabad Mandi- RKUMP,2025_UP_1566,"5,00,000","5,00,000",30-May-2025 05:00 PM,09-Jun-2025 03:00 PM,12-Jun-2025 12:00 PM,Miscellaneous
Govt of Haryana||Prison Department Haryana||Central Prison-1 Hisar,2025_HR_995,"50,000","2,200",07-Jun-2025 09:00 AM,09-Jun-2025 03:00 PM,10-Jun-2025 09:00 AM,Others
Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||Forest Development Corporation of Maharashtra Ltd.||General Manager Nagpur||Divisional Manager Nagpur,2025_MH_29635,,,06-Jun-2025 02:00 PM,09-Jun-2025 03:45 PM,09-Jun-2025 03:45 PM,Timber
Govt of Haryana||Revenue and Disaster Management Haryana||Deputy Commisisoner Office Bhiwani||Nazar Branch O/o D.C Bhiwani,2025_HR_992,"3,80,000",,04-Jun-2025 03:00 PM,09-Jun-2025 04:00 PM,12-Jun-2025 11:00 AM,Scrap/Disposables
Govt of Kerala||Water Resources Department||Irrigation Division Kottayam,2025_GOK_113,"7,83,450",,29-May-2025 05:00 PM,09-Jun-2025 05:00 PM,13-Jun-2025 09:00 AM,Others
Ministry of Defence||Directorate General Defence Estates||Central Command Lucknow||CEO Jabalpur,2025_MoD_4001,"2,50,000","19,00,000",31-May-2025 10:00 AM,09-Jun-2025 05:00 PM,17-Jun-2025 10:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Parbhani District- DMA||Municipal Council Manwat,2025_MH_29650,"50,000","5,00,000",30-May-2025 04:45 PM,09-Jun-2025 05:00 PM,11-Jun-2025 11:00 AM,Land/Building
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Parbhani District- DMA||Municipal Council Manwat,2025_MH_29650,"50,000","5,00,000",30-May-2025 04:45 PM,09-Jun-2025 05:00 PM,11-Jun-2025 11:00 AM,Land/Building
